cohort,algorithm,case,seed,success,reason,completion,tracking_mae_m,illegal_switches,collision_count,simulation_time_s,checkpoint_sha256
complex,temporal_mpc,02-coil-6002-kinematic_v1,6002,True,success,0.9961747618019189,0.019791164628186413,0,0,57.75,
complex,temporal_mpc,03-coil-6002-inertial_v2,6002,True,success,0.9959126554548514,0.015637084914057926,0,0,57.800000000000004,
complex,temporal_mpc,04-parallel_curve-6001-kinematic_v1,6001,True,success,0.9852092751938071,0.021067894668559132,0,0,17.7,
complex,temporal_mpc,05-parallel_curve-6001-inertial_v2,6001,True,success,0.9851679633123865,0.01783059177839919,0,0,17.6,
complex,temporal_mpc,06-parallel_curve-6002-kinematic_v1,6002,True,success,0.9837479250612915,0.023747339537998714,0,0,17.0,
complex,temporal_mpc,07-parallel_curve-6002-inertial_v2,6002,True,success,0.984135958085554,0.015514350244689903,0,0,16.900000000000002,
core,scanline_pid,straight,6001,True,success,0.9846480662638516,0.014701682742250057,0,0,20.6,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,scanline_pid,bend,6001,True,success,0.9826139128450511,0.027839267717968894,0,0,20.1,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,scanline_pid,s_curve,6001,True,success,0.984675414941718,0.059873808068621893,0,0,21.5,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,scanline_pid,sharp,6001,True,success,0.9834485984014745,0.030971663131383192,0,0,21.3,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,scanline_pid,hairpin,6001,True,success,0.985356035050189,0.029098985810139217,0,0,24.200000000000003,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,scanline_pid,parallel,6001,True,success,0.9849136408953868,0.014520839975530398,0,0,20.6,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,scanline_pid,close_lines,6001,True,success,0.9842064880910129,0.016545407755262868,0,0,20.55,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,scanline_pid,repeated,6001,True,success,0.9966312893178715,0.030953704709438725,0,0,90.85000000000001,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,cnn_gru,straight,6001,True,success,0.9843705101047981,0.008671997298648367,0,0,15.950000000000001,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,cnn_gru,bend,6001,True,success,0.9824206623022448,0.017715232721387624,0,0,14.850000000000001,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,cnn_gru,s_curve,6001,True,success,0.9846461391276398,0.030346455548228242,0,0,15.4,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,cnn_gru,sharp,6001,True,success,0.9845681468323013,0.018343241543342798,0,0,15.5,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,cnn_gru,hairpin,6001,True,success,0.9868016913064634,0.01962664835915822,0,0,17.55,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,cnn_gru,parallel,6001,True,success,0.9847512367519519,0.0161564875454163,0,0,15.9,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,cnn_gru,close_lines,6001,True,success,0.9865044986128443,0.014579694667694187,0,0,16.0,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
core,cnn_gru,repeated,6001,True,success,0.9969891257510133,0.014124340870291534,0,0,66.95,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,scanline_pid,00-coil-6001-inertial_v2,6001,True,success,0.9963716069128005,0.03503083576922032,0,0,83.0,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,scanline_pid,01-coil-6001-kinematic_v1,6001,True,success,0.9964330217250911,0.026222021502487546,0,0,82.05000000000001,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,scanline_pid,02-coil-6002-inertial_v2,6002,True,success,0.9962072054828979,0.04022183556197224,0,0,76.2,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,scanline_pid,03-coil-6002-kinematic_v1,6002,True,success,0.9959376367697467,0.03035310532252539,0,0,75.45,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,scanline_pid,04-parallel_curve-6001-inertial_v2,6001,True,success,0.9845001251437975,0.045014531841738,0,0,22.55,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,scanline_pid,05-parallel_curve-6001-kinematic_v1,6001,True,success,0.9853885927052983,0.03515410914086132,0,0,22.400000000000002,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,scanline_pid,06-parallel_curve-6002-inertial_v2,6002,True,success,0.9837338990108475,0.046798170030874386,0,0,21.75,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,scanline_pid,07-parallel_curve-6002-kinematic_v1,6002,True,success,0.9850481286633845,0.03604148491846623,0,0,21.650000000000002,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,cnn_gru,00-coil-6001-inertial_v2,6001,True,success,0.9970431380320951,0.01928070006997665,0,0,62.300000000000004,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,cnn_gru,01-coil-6001-kinematic_v1,6001,True,success,0.99680515005564,0.023932283847600017,0,0,61.7,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,cnn_gru,02-coil-6002-inertial_v2,6002,True,success,0.996384589584943,0.028218560008289754,0,0,56.95,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,cnn_gru,03-coil-6002-kinematic_v1,6002,True,success,0.9962052125215777,0.02923594644916826,0,0,56.35,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,cnn_gru,04-parallel_curve-6001-inertial_v2,6001,False,illegal_switch,0.9181022781522811,0.056465844352319744,1,0,16.2,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,cnn_gru,05-parallel_curve-6001-kinematic_v1,6001,True,success,0.9861062609696779,0.039081203287692476,0,0,16.5,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,cnn_gru,06-parallel_curve-6002-inertial_v2,6002,True,success,0.9853121696456567,0.022795785291327947,0,0,15.8,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
complex,cnn_gru,07-parallel_curve-6002-kinematic_v1,6002,True,success,0.9836477647998042,0.027560589168571983,0,0,15.600000000000001,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
legacy_core,cnn_gru,straight,6001,True,success,0.9868142141955236,0.011470088244373807,0,0,15.950000000000001,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_core,cnn_gru,bend,6001,True,success,0.9852954189798586,0.023234232430659956,0,0,14.850000000000001,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_core,cnn_gru,s_curve,6001,True,success,0.9850742659651505,0.034155199153863926,0,0,15.350000000000001,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_core,cnn_gru,sharp,6001,True,success,0.9841687736649156,0.0247007441130877,0,0,15.350000000000001,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_core,cnn_gru,hairpin,6001,True,success,0.9877336222982539,0.027796822989263736,0,0,17.55,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_core,cnn_gru,parallel,6001,True,success,0.9838898679107859,0.025348510767405453,0,0,16.2,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_core,cnn_gru,close_lines,6001,True,success,0.9856388929641907,0.020127965912715737,0,0,16.0,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_core,cnn_gru,repeated,6001,True,success,0.9969030139560437,0.02185616944133314,0,0,66.95,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_complex,cnn_gru,00-coil-6001-kinematic_v1,6001,False,episode_timeout,0.26599276109149916,0.20126141579727835,0,0,200.0,8184a5a2effc11a935e2033740814b56be2c74cb173720503423e104ab44a0d0
legacy_complex,cnn_gru,01-coil-6002-kinematic_v1,6002,True,success,0.9961539085246024,0.029950789243866353,0,0,55.85,8184a5a2effc11a935e2033740814b56be2c74cb173720503423e104ab44a0d0
legacy_complex,cnn_gru,02-parallel_curve-6001-kinematic_v1,6001,True,success,0.9844107174484965,0.0611850119985992,0,0,16.650000000000002,8184a5a2effc11a935e2033740814b56be2c74cb173720503423e104ab44a0d0
legacy_complex,cnn_gru,03-parallel_curve-6002-kinematic_v1,6002,True,success,0.9849521200154561,0.03423854648292481,0,0,15.65,8184a5a2effc11a935e2033740814b56be2c74cb173720503423e104ab44a0d0
legacy_complex,cnn_gru,00-coil-6001-inertial_v2,6001,True,success,0.9965709318396351,0.030221178745187868,0,0,62.400000000000006,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_complex,cnn_gru,01-coil-6002-inertial_v2,6002,True,success,0.99635818159981,0.02554067607026004,0,0,56.85,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_complex,cnn_gru,02-parallel_curve-6001-inertial_v2,6001,False,illegal_switch,0.8009106097745162,0.045021339778835,1,0,14.600000000000001,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
legacy_complex,cnn_gru,03-parallel_curve-6002-inertial_v2,6002,True,success,0.9861107201270588,0.02855829492795486,0,0,15.8,09e31baca684b4046e416765a314085aea2bb1c74086d4aa55814ebd4609ffdb
validation,scanline_pid,00-bend-inertial_v2,203,True,success,0.9827905761290318,0.03690202264046638,0,0,20.3,
validation,scanline_pid,01-bend-kinematic_v1,203,True,success,0.9834406054078916,0.03008840374929154,0,0,20.1,
validation,scanline_pid,02-close_lines-inertial_v2,203,True,success,0.9832821868017436,0.017803377904981293,0,0,19.5,
validation,scanline_pid,03-close_lines-kinematic_v1,203,True,success,0.9832164959232148,0.01252040729259948,0,0,19.5,
validation,scanline_pid,04-coil-inertial_v2,203,True,success,0.9956664495594517,0.038024056936259855,0,0,71.05,
validation,scanline_pid,05-coil-kinematic_v1,203,True,success,0.9956039944086253,0.02952641249996427,0,0,70.05,
validation,scanline_pid,06-hairpin-inertial_v2,203,True,success,0.9860331252790843,0.033015156759171466,0,0,24.25,
validation,scanline_pid,07-hairpin-kinematic_v1,203,True,success,0.985347877205858,0.025008307466932726,0,0,23.900000000000002,
validation,scanline_pid,08-parallel-inertial_v2,203,True,success,0.983764014231825,0.018731125732803413,0,0,19.55,
validation,scanline_pid,09-parallel-kinematic_v1,203,True,success,0.9838136785330133,0.014095948144050342,0,0,19.450000000000003,
validation,scanline_pid,10-parallel_curve-inertial_v2,203,True,success,0.9832132208573338,0.04461519111759321,0,0,19.900000000000002,
validation,scanline_pid,11-parallel_curve-kinematic_v1,203,True,success,0.9832181998503169,0.03349344969212154,0,0,19.8,
validation,scanline_pid,12-repeated-inertial_v2,203,True,success,0.9967866147390675,0.0300490954736381,0,0,90.45,
validation,scanline_pid,13-repeated-kinematic_v1,203,True,success,0.9966989230641926,0.021208788239751992,0,0,89.0,
validation,scanline_pid,14-s_curve-inertial_v2,203,True,success,0.983269772511626,0.0643359833094783,0,0,21.450000000000003,
validation,scanline_pid,15-s_curve-kinematic_v1,203,True,success,0.9829763178220357,0.04944974676854758,0,0,21.3,
validation,scanline_pid,16-sharp-inertial_v2,203,True,success,0.9840796140719303,0.0376684744462438,0,0,21.400000000000002,
validation,scanline_pid,17-sharp-kinematic_v1,203,True,success,0.9835266950103152,0.027960056235597365,0,0,21.1,
validation,scanline_pid,18-straight-inertial_v2,203,True,success,0.9829016483112928,0.017192393800028856,0,0,19.450000000000003,
validation,scanline_pid,19-straight-kinematic_v1,203,True,success,0.9838816852399049,0.013967957199719092,0,0,19.450000000000003,
validation,cnn_gru,00-bend-inertial_v2,203,True,success,0.9838337350226005,0.023244684374142264,0,0,14.9,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,01-bend-kinematic_v1,203,True,success,0.985226662442663,0.022975366592600608,0,0,14.75,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,02-close_lines-inertial_v2,203,True,success,0.9830734130193259,0.029101563883220452,0,0,15.0,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,03-close_lines-kinematic_v1,203,True,success,0.9844245800990272,0.037219318831884354,0,0,15.0,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,04-coil-inertial_v2,203,True,success,0.9958977504330934,0.021437991205510622,0,0,52.650000000000006,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,05-coil-kinematic_v1,203,True,success,0.9958124183287983,0.02544307723924517,0,0,52.050000000000004,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,06-hairpin-inertial_v2,203,True,success,0.9872493735667711,0.028769624025041435,0,0,17.650000000000002,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,07-hairpin-kinematic_v1,203,True,success,0.987031762316972,0.030604639699845004,0,0,17.400000000000002,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,08-parallel-inertial_v2,203,True,success,0.9836042382746715,0.025242849563374626,0,0,14.850000000000001,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,09-parallel-kinematic_v1,203,True,success,0.9833962183636785,0.027821388849335556,0,0,14.8,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,10-parallel_curve-inertial_v2,203,True,success,0.9837393707437916,0.026439846916400278,0,0,14.600000000000001,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,11-parallel_curve-kinematic_v1,203,True,success,0.9821278826275761,0.031466230241794985,0,0,14.5,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,12-repeated-inertial_v2,203,True,success,0.9972581836663272,0.020266290515665752,0,0,66.65,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,13-repeated-kinematic_v1,203,True,success,0.997095703509333,0.025480525152074055,0,0,65.75,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,14-s_curve-inertial_v2,203,True,success,0.9832636856563232,0.038110853073223004,0,0,15.5,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,15-s_curve-kinematic_v1,203,True,success,0.9836609280772081,0.040878496840305624,0,0,15.200000000000001,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,16-sharp-inertial_v2,203,True,success,0.985776745075597,0.03026964342024304,0,0,15.5,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,17-sharp-kinematic_v1,203,True,success,0.9833530704069946,0.03246852403627655,0,0,15.200000000000001,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,18-straight-inertial_v2,203,True,success,0.9848504080361353,0.011814447461257331,0,0,15.05,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
validation,cnn_gru,19-straight-kinematic_v1,203,True,success,0.984853528608425,0.014153093213301746,0,0,15.0,d87a1d6e0c16823b5ac2b559aa96b827f5eabd868f779aaf0ae035b555574999
before_scanline,scanline_pid,custom,7,False,episode_timeout,0.6910099331597928,0.019868490123595855,0,0,200.0,
before_scanline,scanline_pid,custom,7,False,illegal_switch,0.0,,1,0,5.3500000000000005,
